[2022-01-22 11:33:04,272][train_graph.py][line:146][INFO] arch: pointNN_graph
base_lr: 0.0005
block_size: 1.0
classes: 13
cuda: True
data_name: s3dis
data_root: /data0/texture_data/yaohualiu/PublicDataset/s3dis
epochs: 100
evaluate: True
feature_dim: 6
ignore_label: 255
is_restart: 1
log_root: /Code/PycharmProjects/pythonProject/3DSemantic/ANTennaSeg3D/log/s3dis_graph
manual_seed: 123
momentum: 0.9
multiplier: 0.5
names_path: list/s3dis_names.txt
num_point: 10000
pcd_save_path: pred_pcd
print_freq: 100
resume: None
sample_rate: 1.0
save_freq: 1
save_path: checkpoints_graph
selected_epoch: 36
split: val
start_epoch: 0
step_epoch: 20
stride_rate: 0.5
sync_bn: False
test_area: 5
test_batch_size: 1
test_gpu: [1]
test_list: list/val5.txt
test_list_full: list/val5_full.txt
test_log: test.log
test_tensorboard_path: tb_test
test_workers: 1
train_batch_size: 1
train_batch_size_val: 1
train_full_folder: trainval_fullarea
train_gpu: [1]
train_list: list/train12346.txt
train_log: train.log
train_tensorboard_path: tb_train
train_workers: 1
use_xyz: True
val_list: list/val5.txt
voxel_max: 0
voxel_size: 0
weight: None
weight_decay: 0.0001
writer_root: /Code/PycharmProjects/pythonProject/3DSemantic/ANTennaSeg3D/writer/s3dis_graph
[2022-01-22 11:33:04,281][s3dis_short.py][line:36][INFO] S3DIS init ... 
[2022-01-22 11:33:50,479][s3dis_short.py][line:68][INFO] Totally 19491 samples in train set.
[2022-01-22 11:40:41,409][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[2300/19491] | RunningLoss:190.11098 | AllAcc:0.40940 | mIoU:0.08533 | mAcc:0.14440 | Time:0.0061
[2022-01-22 11:40:56,747][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[2400/19491] | RunningLoss:186.50331 | AllAcc:0.34990 | mIoU:0.05977 | mAcc:0.13525 | Time:0.0077
[2022-01-22 11:41:07,351][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[2500/19491] | RunningLoss:187.48071 | AllAcc:0.49000 | mIoU:0.09574 | mAcc:0.16123 | Time:0.0094
[2022-01-22 11:41:19,873][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[2600/19491] | RunningLoss:186.42412 | AllAcc:0.30300 | mIoU:0.09051 | mAcc:0.18804 | Time:0.0076
[2022-01-22 11:41:33,142][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[2700/19491] | RunningLoss:175.75591 | AllAcc:0.48190 | mIoU:0.11012 | mAcc:0.18889 | Time:0.0087
[2022-01-22 11:41:47,918][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[2800/19491] | RunningLoss:184.71693 | AllAcc:0.38790 | mIoU:0.08697 | mAcc:0.17552 | Time:0.0052
[2022-01-22 11:41:57,634][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[2900/19491] | RunningLoss:187.35944 | AllAcc:0.39400 | mIoU:0.10192 | mAcc:0.21394 | Time:0.0089
[2022-01-22 11:42:08,527][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[3000/19491] | RunningLoss:181.74490 | AllAcc:0.58820 | mIoU:0.12696 | mAcc:0.18612 | Time:0.0073
[2022-01-22 11:42:20,490][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[3100/19491] | RunningLoss:180.70913 | AllAcc:0.37980 | mIoU:0.11137 | mAcc:0.20638 | Time:0.0087
[2022-01-22 11:42:32,596][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[3200/19491] | RunningLoss:179.82277 | AllAcc:0.41560 | mIoU:0.07230 | mAcc:0.10603 | Time:0.0088
[2022-01-22 11:42:43,854][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[3300/19491] | RunningLoss:182.05040 | AllAcc:0.49850 | mIoU:0.10979 | mAcc:0.18611 | Time:0.0075
[2022-01-22 11:42:51,943][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[3400/19491] | RunningLoss:177.11956 | AllAcc:0.65670 | mIoU:0.15684 | mAcc:0.22316 | Time:0.0086
[2022-01-22 11:43:03,415][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[3500/19491] | RunningLoss:185.15577 | AllAcc:0.39870 | mIoU:0.09153 | mAcc:0.18619 | Time:0.0067
[2022-01-22 11:43:15,465][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[3600/19491] | RunningLoss:173.80142 | AllAcc:0.29210 | mIoU:0.08698 | mAcc:0.18820 | Time:0.0066
[2022-01-22 11:43:28,352][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[3700/19491] | RunningLoss:180.75434 | AllAcc:0.39260 | mIoU:0.09511 | mAcc:0.18623 | Time:0.0075
[2022-01-22 11:43:42,593][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[3800/19491] | RunningLoss:178.58802 | AllAcc:0.30490 | mIoU:0.03753 | mAcc:0.07853 | Time:0.0074
[2022-01-22 11:43:55,517][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[3900/19491] | RunningLoss:175.25092 | AllAcc:0.41340 | mIoU:0.10148 | mAcc:0.17581 | Time:0.0081
